County,County Code,Year,Year Code,Births,Total Population,Birth Rate
"Clark County, NV",32003,2020,2020,25330,2315963,10.94
"Washoe County, NV",32031,2010,2010,5445,421407,12.92
"Washoe County, NV",32031,2020,2020,4955,477082,10.39
"Unidentified Counties, NV",32999,2010,2010,3737,327875,11.4
"Unidentified Counties, NV",32999,2020,2020,3368,345214,9.76
"Hillsborough County, NH",33011,2010,2010,4488,400721,11.2
"Hillsborough County, NH",33011,2020,2020,4081,418735,9.75
"Merrimack County, NH",33013,2010,2010,1402,146445,9.57
"Merrimack County, NH",33013,2020,2020,1276,152622,8.36
"Rockingham County, NH",33015,2010,2010,2549,295223,8.63
"Rockingham County, NH",33015,2020,2020,2648,311307,8.51
"Strafford County, NH",33017,2010,2010,1283,123143,10.42
"Strafford County, NH",33017,2020,2020,1170,131533,8.9
"Unidentified Counties, NH",33999,2010,2010,3152,350938,8.98
"Unidentified Counties, NH",33999,2020,2020,2616,352078,7.43
"Atlantic County, NJ",34001,2010,2010,3285,274549,11.97
"Atlantic County, NJ",34001,2020,2020,2823,262945,10.74
"Bergen County, NJ",34003,2010,2010,9360,905116,10.34
"Bergen County, NJ",34003,2020,2020,8653,930394,9.3
"Burlington County, NJ",34005,2010,2010,4765,448734,10.62
"Burlington County, NJ",34005,2020,2020,4376,446596,9.8
"Camden County, NJ",34007,2010,2010,6742,513657,13.13
"Camden County, NJ",34007,2020,2020,5933,506809,11.71
"Cape May County, NJ",34009,2010,2010,919,97265,9.45
"Cumberland County, NJ",34011,2010,2010,2340,156898,14.91
"Cumberland County, NJ",34011,2020,2020,1819,147008,12.37
"Essex County, NJ",34013,2010,2010,10465,783969,13.35
"Essex County, NJ",34013,2020,2020,9652,800501,12.06
"Gloucester County, NJ",34015,2010,2010,3234,288288,11.22
"Gloucester County, NJ",34015,2020,2020,2727,293245,9.3
"Hudson County, NJ",34017,2010,2010,10064,634266,15.87
"Hudson County, NJ",34017,2020,2020,9544,671666,14.21
"Hunterdon County, NJ",34019,2010,2010,995,128349,7.75
"Hunterdon County, NJ",34019,2020,2020,994,124797,7.96
"Mercer County, NJ",34021,2010,2010,4442,366513,12.12
"Mercer County, NJ",34021,2020,2020,3985,367239,10.85
"Middlesex County, NJ",34023,2010,2010,10067,809858,12.43
"Middlesex County, NJ",34023,2020,2020,8426,822736,10.24
"Monmouth County, NJ",34025,2010,2010,6392,630380,10.14
"Monmouth County, NJ",34025,2020,2020,5852,618381,9.46
"Morris County, NJ",34027,2010,2010,4852,492276,9.86
"Morris County, NJ",34027,2020,2020,4580,491087,9.33
"Ocean County, NJ",34029,2010,2010,7945,576567,13.78
"Ocean County, NJ",34029,2020,2020,9316,614237,15.17
"Passaic County, NJ",34031,2010,2010,7187,501226,14.34
"Passaic County, NJ",34031,2020,2020,6260,500382,12.51
"Somerset County, NJ",34035,2010,2010,3533,323444,10.92
"Somerset County, NJ",34035,2020,2020,2927,329331,8.89
"Sussex County, NJ",34037,2010,2010,1424,149265,9.54
"Sussex County, NJ",34037,2020,2020,1299,140002,9.28
"Union County, NJ",34039,2010,2010,7068,536499,13.17
"Union County, NJ",34039,2020,2020,6369,555394,11.47
"Warren County, NJ",34041,2010,2010,1054,108692,9.7
"Warren County, NJ",34041,2020,2020,1018,105624,9.64
"Unidentified Counties, NJ",34999,2010,2010,789,66083,11.94
"Unidentified Counties, NJ",34999,2020,2020,1401,153997,9.1
"Bernalillo County, NM",35001,2010,2010,8607,662564,12.99
"Bernalillo County, NM",35001,2020,2020,6545,681666,9.6
"Dona Ana County, NM",35013,2010,2010,3251,209233,15.54
"Dona Ana County, NM",35013,2020,2020,2471,221262,11.17
"Sandoval County, NM",35043,2020,2020,1321,148904,8.87
"San Juan County, NM",35045,2010,2010,1942,130044,14.93
"San Juan County, NM",35045,2020,2020,1337,123312,10.84
"Santa Fe County, NM",35049,2010,2010,1511,144170,10.48
"Santa Fe County, NM",35049,2020,2020,1106,151946,7.28
"Unidentified Counties, NM",35999,2010,2010,12539,913168,13.73
"Unidentified Counties, NM",35999,2020,2020,9123,779229,11.71
"Albany County, NY",36001,2010,2010,3032,304204,9.97
"Albany County, NY",36001,2020,2020,2810,303654,9.25
"Bronx County, NY",36005,2010,2010,22490,1385108,16.24
"Bronx County, NY",36005,2020,2020,17851,1401142,12.74
"Broome County, NY",36007,2010,2010,2052,200600,10.23
"Broome County, NY",36007,2020,2020,1788,189420,9.44
"Chautauqua County, NY",36013,2010,2010,1383,134905,10.25
"Chautauqua County, NY",36013,2020,2020,1239,126032,9.83
"Dutchess County, NY",36027,2010,2010,2874,297488,9.66
"Dutchess County, NY",36027,2020,2020,2564,293293,8.74
"Erie County, NY",36029,2010,2010,9773,919040,10.63
"Erie County, NY",36029,2020,2020,9456,917241,10.31
"Jefferson County, NY",36045,2010,2010,2091,116229,17.99
"Jefferson County, NY",36045,2020,2020,1794,108095,16.6
"Kings County, NY",36047,2010,2010,41964,2504700,16.75
"Kings County, NY",36047,2020,2020,34442,2538934,13.57
"Monroe County, NY",36055,2010,2010,8545,744344,11.48
"Monroe County, NY",36055,2020,2020,7522,740900,10.15
"Nassau County, NY",36059,2010,2010,14242,1339532,10.63
"Nassau County, NY",36059,2020,2020,13294,1351334,9.84
"New York County, NY",36061,2010,2010,20005,1585873,12.61
"New York County, NY",36061,2020,2020,14755,1611989,9.15
"Niagara County, NY",36063,2010,2010,2217,216469,10.24
"Niagara County, NY",36063,2020,2020,1976,208396,9.48
"Oneida County, NY",36065,2010,2010,2630,234878,11.2
"Oneida County, NY",36065,2020,2020,2382,227346,10.48
"Onondaga County, NY",36067,2010,2010,5352,467026,11.46
"Onondaga County, NY",36067,2020,2020,4864,459214,10.59
"Ontario County, NY",36069,2010,2010,1045,107931,9.68
"Ontario County, NY",36069,2020,2020,941,110091,8.55
"Orange County, NY",36071,2010,2010,5171,372813,13.87
"Orange County, NY",36071,2020,2020,5231,385234,13.58
"Oswego County, NY",36075,2010,2010,1332,122109,10.91
"Oswego County, NY",36075,2020,2020,1168,116346,10.04
"Queens County, NY",36081,2010,2010,30573,2230722,13.71
"Queens County, NY",36081,2020,2020,24635,2225821,11.07
"Rensselaer County, NY",36083,2010,2010,1697,159429,10.64
"Rensselaer County, NY",36083,2020,2020,1577,158108,9.97
"Richmond County, NY",36085,2010,2010,5665,468730,12.09
"Richmond County, NY",36085,2020,2020,4958,475327,10.43
"Rockland County, NY",36087,2010,2010,4896,311687,15.71
"Rockland County, NY",36087,2020,2020,5728,326225,17.56
"St. Lawrence County, NY",36089,2010,2010,1206,111944,10.77
"St. Lawrence County, NY",36089,2020,2020,994,107185,9.27
"Saratoga County, NY",36091,2010,2010,2305,219607,10.5
"Saratoga County, NY",36091,2020,2020,1961,230298,8.52
"Schenectady County, NY",36093,2010,2010,1882,154727,12.16
"Schenectady County, NY",36093,2020,2020,1794,155358,11.55
"Suffolk County, NY",36103,2010,2010,16807,1493350,11.25
"Suffolk County, NY",36103,2020,2020,14742,1474273,10
"Tompkins County, NY",36109,2020,2020,663,101058,6.56
"Ulster County, NY",36111,2010,2010,1695,182493,9.29
"Ulster County, NY",36111,2020,2020,1476,177716,8.31
"Westchester County, NY",36119,2010,2010,11141,949113,11.74
"Westchester County, NY",36119,2020,2020,9618,965802,9.96
"Unidentified Counties, NY",36999,2010,2010,20310,2043051,9.94
"Unidentified Counties, NY",36999,2020,2020,17115,1850944,9.25
"Alamance County, NC",37001,2010,2010,1856,151131,12.28
"Alamance County, NC",37001,2020,2020,1831,171346,10.69
"Brunswick County, NC",37019,2020,2020,1000,149039,6.71
"Buncombe County, NC",37021,2010,2010,2571,238318,10.79
"Buncombe County, NC",37021,2020,2020,2325,263477,8.82
"Cabarrus County, NC",37025,2010,2010,2362,178011,13.27
"Cabarrus County, NC",37025,2020,2020,2541,221479,11.47
"Catawba County, NC",37035,2010,2010,1829,154358,11.85
"Catawba County, NC",37035,2020,2020,1593,160307,9.94
"Craven County, NC",37049,2020,2020,1312,101233,12.96
"Cumberland County, NC",37051,2010,2010,5839,319431,18.28
"Cumberland County, NC",37051,2020,2020,5118,336364,15.22
"Davidson County, NC",37057,2010,2010,1729,162878,10.62
"Davidson County, NC",37057,2020,2020,1699,169234,10.04
"Durham County, NC",37063,2010,2010,4258,267587,15.91
"Durham County, NC",37063,2020,2020,4012,327306,12.26
"Forsyth County, NC",37067,2010,2010,4688,350670,13.37
"Forsyth County, NC",37067,2020,2020,4288,383843,11.17
"Gaston County, NC",37071,2010,2010,2602,206086,12.63
"Gaston County, NC",37071,2020,2020,2547,226568,11.24
"Guilford County, NC",37081,2010,2010,6005,488406,12.3
"Guilford County, NC",37081,2020,2020,5927,540521,10.97
"Harnett County, NC",37085,2020,2020,1867,137058,13.62
"Henderson County, NC",37089,2020,2020,1004,118445,8.48
"Iredell County, NC",37097,2010,2010,1829,159437,11.47
"Iredell County, NC",37097,2020,2020,1897,185770,10.21
"Johnston County, NC",37101,2010,2010,2257,168878,13.36
"Johnston County, NC",37101,2020,2020,2487,216246,11.5
"Mecklenburg County, NC",37119,2010,2010,13898,919628,15.11
"Mecklenburg County, NC",37119,2020,2020,14654,1128945,12.98
"New Hanover County, NC",37129,2010,2010,2229,202667,11
"New Hanover County, NC",37129,2020,2020,2089,236613,8.83
"Onslow County, NC",37133,2010,2010,4300,177772,24.19
"Onslow County, NC",37133,2020,2020,3730,203943,18.29
"Orange County, NC",37135,2010,2010,1212,133801,9.06
"Orange County, NC",37135,2020,2020,1105,149077,7.41
"Pitt County, NC",37147,2010,2010,2146,168148,12.76
"Pitt County, NC",37147,2020,2020,2002,182924,10.94
"Randolph County, NC",37151,2010,2010,1675,141752,11.82
"Randolph County, NC",37151,2020,2020,1559,144557,10.78
"Robeson County, NC",37155,2010,2010,2106,134168,15.7
"Robeson County, NC",37155,2020,2020,1730,129999,13.31
"Rowan County, NC",37159,2010,2010,1533,138428,11.07
"Rowan County, NC",37159,2020,2020,1587,142495,11.14
"Union County, NC",37179,2010,2010,2478,201292,12.31
"Union County, NC",37179,2020,2020,2328,244562,9.52
"Wake County, NC",37183,2010,2010,12704,900993,14.1
"Wake County, NC",37183,2020,2020,12550,1132271,11.08
"Wayne County, NC",37191,2010,2010,1623,122623,13.24
"Wayne County, NC",37191,2020,2020,1543,123967,12.45
"Unidentified Counties, NC",37999,2010,2010,38621,3449020,11.2
"Unidentified Counties, NC",37999,2020,2020,30405,3073234,9.89
"Cass County, ND",38017,2010,2010,2158,149778,14.41
"Cass County, ND",38017,2020,2020,2353,183904,12.79
"Unidentified Counties, ND",38999,2010,2010,6946,522813,13.29
"Unidentified Counties, ND",38999,2020,2020,7706,581405,13.25
"Allen County, OH",39003,2010,2010,1306,106331,12.28
"Allen County, OH",39003,2020,2020,1184,101980,11.61
"Ashtabula County, OH",39007,2010,2010,1160,101497,11.43
"Ashtabula County, OH",39007,2020,2020,1016,96513,10.53
"Butler County, OH",39017,2010,2010,4605,368130,12.51
"Butler County, OH",39017,2020,2020,4366,385648,11.32
"Clark County, OH",39023,2010,2010,1681,138333,12.15
"Clark County, OH",39023,2020,2020,1506,133593,11.27
"Clermont County, OH",39025,2010,2010,2489,197363,12.61
"Clermont County, OH",39025,2020,2020,2167,207449,10.45
"Columbiana County, OH",39029,2010,2010,1112,107841,10.31
"Columbiana County, OH",39029,2020,2020,984,101118,9.73
"Cuyahoga County, OH",39035,2010,2010,15112,1280122,11.81
"Cuyahoga County, OH",39035,2020,2020,13191,1227883,10.74
"Delaware County, OH",39041,2010,2010,2200,174214,12.63
"Delaware County, OH",39041,2020,2020,1975,213554,9.25
"Fairfield County, OH",39045,2010,2010,1652,146156,11.3
"Fairfield County, OH",39045,2020,2020,1627,159709,10.19
"Franklin County, OH",39049,2010,2010,17824,1163414,15.32
"Franklin County, OH",39049,2020,2020,17557,1324624,13.25
"Greene County, OH",39057,2010,2010,1723,161573,10.66
"Greene County, OH",39057,2020,2020,1712,170122,10.06
"Hamilton County, OH",39061,2010,2010,10850,802374,13.52
"Hamilton County, OH",39061,2020,2020,10383,817985,12.69
"Lake County, OH",39085,2010,2010,2374,230041,10.32
"Lake County, OH",39085,2020,2020,2021,229569,8.8
"Licking County, OH",39089,2010,2010,2000,166492,12.01
"Licking County, OH",39089,2020,2020,1822,178100,10.23
"Lorain County, OH",39093,2010,2010,3329,301356,11.05
"Lorain County, OH",39093,2020,2020,3185,312172,10.2
"Lucas County, OH",39095,2010,2010,5846,441815,13.23
"Lucas County, OH",39095,2020,2020,5171,428294,12.07
"Mahoning County, OH",39099,2010,2010,2417,238823,10.12
"Mahoning County, OH",39099,2020,2020,2326,226075,10.29
"Medina County, OH",39103,2010,2010,1746,172332,10.13
"Medina County, OH",39103,2020,2020,1583,180912,8.75
"Miami County, OH",39109,2020,2020,1144,107516,10.64
"Montgomery County, OH",39113,2010,2010,6728,535153,12.57
"Montgomery County, OH",39113,2020,2020,6170,531610,11.61
"Portage County, OH",39133,2010,2010,1479,161419,9.16
"Portage County, OH",39133,2020,2020,1306,162583,8.03
"Richland County, OH",39139,2010,2010,1369,124475,11
"Richland County, OH",39139,2020,2020,1321,120891,10.93
"Stark County, OH",39151,2010,2010,4087,375586,10.88
"Stark County, OH",39151,2020,2020,3934,369772,10.64
"Summit County, OH",39153,2010,2010,6071,541781,11.21
"Summit County, OH",39153,2020,2020,5481,538866,10.17
"Trumbull County, OH",39155,2010,2010,2124,210312,10.1
"Trumbull County, OH",39155,2020,2020,1983,196800,10.08
"Warren County, OH",39165,2010,2010,2554,212693,12.01
"Warren County, OH",39165,2020,2020,2347,238412,9.84
"Wayne County, OH",39169,2010,2010,1445,114520,12.62
"Wayne County, OH",39169,2020,2020,1398,115694,12.08
"Wood County, OH",39173,2010,2010,1309,125488,10.43
"Wood County, OH",39173,2020,2020,1180,131113,9
"Unidentified Counties, OH",39999,2010,2010,32536,2836870,11.47
"Unidentified Counties, OH",39999,2020,2020,29151,2684660,10.86
"Canadian County, OK",40017,2020,2020,1845,153192,12.04
"Cleveland County, OK",40027,2010,2010,2960,255755,11.57
"Cleveland County, OK",40027,2020,2020,2695,287066,9.39
"Comanche County, OK",40031,2010,2010,2153,124098,17.35
"Comanche County, OK",40031,2020,2020,1709,121099,14.11
"Oklahoma County, OK",40109,2010,2010,12190,718633,16.96
"Oklahoma County, OK",40109,2020,2020,10916,804041,13.58
"Tulsa County, OK",40143,2010,2010,9280,603403,15.38
"Tulsa County, OK",40143,2020,2020,8699,657589,13.23
"Unidentified Counties, OK",40999,2010,2010,26655,2049462,13.01
"Unidentified Counties, OK",40999,2020,2020,21759,1957796,11.11
"Clackamas County, OR",41005,2010,2010,3856,375992,10.26
"Clackamas County, OR",41005,2020,2020,3734,421596,8.86
"Deschutes County, OR",41017,2010,2010,1717,157733,10.89
"Deschutes County, OR",41017,2020,2020,1822,201769,9.03
"Douglas County, OR",41019,2010,2010,1048,107667,9.73
"Douglas County, OR",41019,2020,2020,1042,111364,9.36
"Jackson County, OR",41029,2010,2010,2335,203206,11.49
"Jackson County, OR",41029,2020,2020,2084,221844,9.39
"Lane County, OR",41039,2010,2010,3491,351715,9.93
"Lane County, OR",41039,2020,2020,2990,382986,7.81
"Linn County, OR",41043,2010,2010,1459,116672,12.51
"Linn County, OR",41043,2020,2020,1463,131054,11.16
"Marion County, OR",41047,2010,2010,4663,315335,14.79
"Marion County, OR",41047,2020,2020,3939,349204,11.28
"Multnomah County, OR",41051,2010,2010,9654,735334,13.13
"Multnomah County, OR",41051,2020,2020,7524,815637,9.22
"Washington County, OR",41067,2010,2010,7047,529710,13.3
"Washington County, OR",41067,2020,2020,5958,603514,9.87
"Unidentified Counties, OR",41999,2010,2010,10270,937710,10.95
"Unidentified Counties, OR",41999,2020,2020,9264,1002539,9.24
"Adams County, PA",42001,2020,2020,872,102742,8.49
"Allegheny County, PA",42003,2010,2010,12904,1223348,10.55
"Allegheny County, PA",42003,2020,2020,12104,1211358,9.99
"Beaver County, PA",42007,2010,2010,1744,170539,10.23
"Beaver County, PA",42007,2020,2020,1526,162575,9.39
"Berks County, PA",42011,2010,2010,4801,411442,11.67
"Berks County, PA",42011,2020,2020,4360,421017,10.36
"Blair County, PA",42013,2010,2010,1422,127089,11.19
"Blair County, PA",42013,2020,2020,1187,121007,9.81
"Bucks County, PA",42017,2010,2010,6118,625249,9.78
"Bucks County, PA",42017,2020,2020,5462,627987,8.7
"Butler County, PA",42019,2010,2010,1779,183862,9.68
"Butler County, PA",42019,2020,2020,1708,189135,9.03
"Cambria County, PA",42021,2010,2010,1416,143679,9.86
"Cambria County, PA",42021,2020,2020,1205,128672,9.36
"Centre County, PA",42027,2010,2010,1347,153990,8.75
"Centre County, PA",42027,2020,2020,1069,161496,6.62
"Chester County, PA",42029,2010,2010,5536,498886,11.1
"Chester County, PA",42029,2020,2020,5206,526759,9.88
"Cumberland County, PA",42041,2010,2010,2468,235406,10.48
"Cumberland County, PA",42041,2020,2020,2602,255857,10.17
"Dauphin County, PA",42043,2010,2010,3408,268100,12.71
"Dauphin County, PA",42043,2020,2020,3334,279874,11.91
"Delaware County, PA",42045,2010,2010,6838,558979,12.23
"Delaware County, PA",42045,2020,2020,6281,566753,11.08
"Erie County, PA",42049,2010,2010,3276,280566,11.68
"Erie County, PA",42049,2020,2020,2608,268426,9.72
"Fayette County, PA",42051,2010,2010,1355,136606,9.92
"Fayette County, PA",42051,2020,2020,1283,128126,10.01
"Franklin County, PA",42055,2010,2010,1949,149618,13.03
"Franklin County, PA",42055,2020,2020,1635,155637,10.51
"Lackawanna County, PA",42069,2010,2010,2244,214437,10.46
"Lackawanna County, PA",42069,2020,2020,2054,208989,9.83
"Lancaster County, PA",42071,2010,2010,6945,519445,13.37
"Lancaster County, PA",42071,2020,2020,6874,546192,12.59
"Lebanon County, PA",42075,2010,2010,1627,133568,12.18
"Lebanon County, PA",42075,2020,2020,1545,141663,10.91
"Lehigh County, PA",42077,2010,2010,4162,349497,11.91
"Lehigh County, PA",42077,2020,2020,4057,370802,10.94
"Luzerne County, PA",42079,2010,2010,3184,320918,9.92
"Luzerne County, PA",42079,2020,2020,3176,316982,10.02
"Lycoming County, PA",42081,2010,2010,1217,116111,10.48
"Lycoming County, PA",42081,2020,2020,1169,113209,10.33
"Mercer County, PA",42085,2010,2010,1141,116638,9.78
"Mercer County, PA",42085,2020,2020,1017,108545,9.37
"Monroe County, PA",42089,2010,2010,1521,169842,8.96
"Monroe County, PA",42089,2020,2020,1427,170154,8.39
"Montgomery County, PA",42091,2010,2010,9129,799874,11.41
"Montgomery County, PA",42091,2020,2020,8261,833869,9.91
"Northampton County, PA",42095,2010,2010,3027,297735,10.17
"Northampton County, PA",42095,2020,2020,2817,305892,9.21
"Philadelphia County, PA",42101,2010,2010,23203,1526006,15.21
"Philadelphia County, PA",42101,2020,2020,19896,1578487,12.6
"Schuylkill County, PA",42107,2010,2010,1383,148289,9.33
"Schuylkill County, PA",42107,2020,2020,1283,140709,9.12
"Washington County, PA",42125,2010,2010,1943,207820,9.35
"Washington County, PA",42125,2020,2020,1882,206803,9.1
"Westmoreland County, PA",42129,2010,2010,3196,365169,8.75
"Westmoreland County, PA",42129,2020,2020,2772,347087,7.99
"York County, PA",42133,2010,2010,5064,434972,11.64
"York County, PA",42133,2020,2020,4650,450448,10.32
"Unidentified Counties, PA",42999,2010,2010,17974,1814699,9.9
"Unidentified Counties, PA",42999,2020,2020,15371,1636002,9.4
"Kent County, RI",44003,2010,2010,1616,166158,9.73
"Kent County, RI",44003,2020,2020,1373,164646,8.34
"Providence County, RI",44007,2010,2010,7460,626667,11.9
"Providence County, RI",44007,2020,2020,6923,636547,10.88
"Washington County, RI",44009,2010,2010,979,126979,7.71
"Washington County, RI",44009,2020,2020,820,125746,6.52
"Unidentified Counties, RI",44999,2010,2010,1122,132763,8.45
"Unidentified Counties, RI",44999,2020,2020,985,130186,7.57
"Aiken County, SC",45003,2010,2010,1982,160099,12.38
"Aiken County, SC",45003,2020,2020,1903,172895,11.01
"Anderson County, SC",45007,2010,2010,2245,187126,12
"Anderson County, SC",45007,2020,2020,2151,204353,10.53
"Beaufort County, SC",45013,2010,2010,2158,162233,13.3
"Beaufort County, SC",45013,2020,2020,1854,195656,9.48
"Berkeley County, SC",45015,2010,2010,2512,177843,14.12
"Berkeley County, SC",45015,2020,2020,2778,235987,11.77
"Charleston County, SC",45019,2010,2010,4847,350209,13.84
"Charleston County, SC",45019,2020,2020,4900,417981,11.72
"Dorchester County, SC",45035,2020,2020,1892,165737,11.42
"Florence County, SC",45041,2010,2010,1791,136885,13.08
"Florence County, SC",45041,2020,2020,1589,137588,11.55
"Greenville County, SC",45045,2010,2010,6109,451225,13.54
"Greenville County, SC",45045,2020,2020,6232,532486,11.7
"Horry County, SC",45051,2010,2010,3070,269291,11.4
"Horry County, SC",45051,2020,2020,3094,365449,8.47
"Lexington County, SC",45063,2010,2010,3411,262391,13
"Lexington County, SC",45063,2020,2020,3157,303946,10.39
"Pickens County, SC",45077,2010,2010,1171,119224,9.82
"Pickens County, SC",45077,2020,2020,1153,127983,9.01
"Richland County, SC",45079,2010,2010,4870,384504,12.67
"Richland County, SC",45079,2020,2020,4629,419051,11.05
"Spartanburg County, SC",45083,2010,2010,3682,284307,12.95
"Spartanburg County, SC",45083,2020,2020,3798,326205,11.64
"Sumter County, SC",45085,2010,2010,1536,107456,14.29
"Sumter County, SC",45085,2020,2020,1403,106360,13.19
"York County, SC",45091,2010,2010,2950,226073,13.05
"York County, SC",45091,2020,2020,2862,289105,9.9
"Unidentified Counties, SC",45999,2010,2010,16008,1346498,11.89
"Unidentified Counties, SC",45999,2020,2020,12309,1217258,10.11
"Minnehaha County, SD",46099,2010,2010,2751,169468,16.23
"Minnehaha County, SD",46099,2020,2020,2730,196659,13.88
"Pennington County, SD",46103,2020,2020,1377,115926,11.88
"Unidentified Counties, SD",46999,2010,2010,9060,644712,14.05
"Unidentified Counties, SD",46999,2020,2020,6853,580132,11.81
"Blount County, TN",47009,2010,2010,1189,123010,9.67
"Blount County, TN",47009,2020,2020,1289,134751,9.57
"Davidson County, TN",47037,2010,2010,9564,626681,15.26
"Davidson County, TN",47037,2020,2020,9655,694176,13.91
"Hamilton County, TN",47065,2010,2010,4121,336463,12.25
"Hamilton County, TN",47065,2020,2020,4220,371662,11.35
"Knox County, TN",47093,2010,2010,5098,432226,11.79
"Knox County, TN",47093,2020,2020,5079,475609,10.68
"Montgomery County, TN",47125,2010,2010,3225,172331,18.71
"Montgomery County, TN",47125,2020,2020,3526,214251,16.46
"Rutherford County, TN",47149,2010,2010,3769,262604,14.35
"Rutherford County, TN",47149,2020,2020,4092,339261,12.06
"Shelby County, TN",47157,2010,2010,13813,927644,14.89
"Shelby County, TN",47157,2020,2020,12593,936017,13.45
"Sullivan County, TN",47163,2010,2010,1614,156823,10.29
"Sullivan County, TN",47163,2020,2020,1402,158755,8.83
"Sumner County, TN",47165,2010,2010,1880,160645,11.7
"Sumner County, TN",47165,2020,2020,2156,195561,11.02
"Washington County, TN",47179,2010,2010,1323,122979,10.76
"Washington County, TN",47179,2020,2020,1204,130367,9.24
"Williamson County, TN",47187,2010,2010,1976,183182,10.79
"Williamson County, TN",47187,2020,2020,2287,245348,9.32
"Wilson County, TN",47189,2020,2020,1627,148130,10.98
"Unidentified Counties, TN",47999,2010,2010,31923,2841517,11.23
"Unidentified Counties, TN",47999,2020,2020,29559,2842946,10.4
"Bell County, TX",48027,2010,2010,6553,310235,21.12
"Bell County, TX",48027,2020,2020,6095,369927,16.48
"Bexar County, TX",48029,2010,2010,26078,1714773,15.21
"Bexar County, TX",48029,2020,2020,25228,2026823,12.45
"Brazoria County, TX",48039,2010,2010,4900,313166,15.65
"Brazoria County, TX",48039,2020,2020,4495,380518,11.81
"Brazos County, TX",48041,2010,2010,2712,194851,13.92
"Brazos County, TX",48041,2020,2020,2635,232555,11.33
"Cameron County, TX",48061,2010,2010,7853,406220,19.33
"Cameron County, TX",48061,2020,2020,6019,424180,14.19
"Collin County, TX",48085,2010,2010,10591,782341,13.54
"Collin County, TX",48085,2020,2020,11411,1072069,10.64
"Comal County, TX",48091,2020,2020,1662,164812,10.08
"Dallas County, TX",48113,2010,2010,39729,2368139,16.78
"Dallas County, TX",48113,2020,2020,36114,2635888,13.7
"Denton County, TX",48121,2010,2010,8999,662614,13.58
"Denton County, TX",48121,2020,2020,9962,919324,10.84
"Ector County, TX",48135,2010,2010,2436,137130,17.76
"Ector County, TX",48135,2020,2020,2742,167701,16.35
"Ellis County, TX",48139,2010,2010,2067,149610,13.82
"Ellis County, TX",48139,2020,2020,2379,191760,12.41
"El Paso County, TX",48141,2010,2010,13825,800647,17.27
"El Paso County, TX",48141,2020,2020,11089,841286,13.18
"Fort Bend County, TX",48157,2010,2010,7843,585375,13.4
"Fort Bend County, TX",48157,2020,2020,8825,839706,10.51
"Galveston County, TX",48167,2010,2010,3947,291309,13.55
"Galveston County, TX",48167,2020,2020,3889,345089,11.27
"Grayson County, TX",48181,2010,2010,1524,120877,12.61
"Grayson County, TX",48181,2020,2020,1584,138318,11.45
"Gregg County, TX",48183,2010,2010,1941,121730,15.95
"Gregg County, TX",48183,2020,2020,1574,124229,12.67
"Guadalupe County, TX",48187,2020,2020,1902,170608,11.15
"Harris County, TX",48201,2010,2010,68219,4092459,16.67
"Harris County, TX",48201,2020,2020,63813,4738253,13.47
"Hays County, TX",48209,2020,2020,2804,241365,11.62
"Hidalgo County, TX",48215,2010,2010,16401,774769,21.17
"Hidalgo County, TX",48215,2020,2020,13379,875200,15.29
"Jefferson County, TX",48245,2010,2010,3558,252273,14.1
"Jefferson County, TX",48245,2020,2020,3190,250127,12.75
"Johnson County, TX",48251,2010,2010,1979,150934,13.11
"Johnson County, TX",48251,2020,2020,2118,179575,11.79
"Kaufman County, TX",48257,2020,2020,2026,143198,14.15
"Lubbock County, TX",48303,2010,2010,4103,278831,14.72
"Lubbock County, TX",48303,2020,2020,3976,314772,12.63
"McLennan County, TX",48309,2010,2010,3473,234906,14.78
"McLennan County, TX",48309,2020,2020,3198,259730,12.31
"Midland County, TX",48329,2010,2010,2266,136872,16.56
"Midland County, TX",48329,2020,2020,2919,177863,16.41
"Montgomery County, TX",48339,2010,2010,6402,455746,14.05
"Montgomery County, TX",48339,2020,2020,7428,626351,11.86
"Nueces County, TX",48355,2010,2010,4716,340223,13.86
"Nueces County, TX",48355,2020,2020,4392,363148,12.09
"Parker County, TX",48367,2020,2020,1634,148198,11.03
"Potter County, TX",48375,2010,2010,2086,121073,17.23
"Potter County, TX",48375,2020,2020,1579,116004,13.61
"Randall County, TX",48381,2010,2010,1553,120725,12.86
"Randall County, TX",48381,2020,2020,1596,139899,11.41
"Smith County, TX",48423,2010,2010,2993,209714,14.27
"Smith County, TX",48423,2020,2020,2894,235806,12.27
"Tarrant County, TX",48439,2010,2010,27893,1809034,15.42
"Tarrant County, TX",48439,2020,2020,26611,2123347,12.53
"Taylor County, TX",48441,2010,2010,1984,131506,15.09
"Taylor County, TX",48441,2020,2020,1932,139200,13.88
"Tom Green County, TX",48451,2010,2010,1553,110224,14.09
"Tom Green County, TX",48451,2020,2020,1480,120010,12.33
"Travis County, TX",48453,2010,2010,15801,1024266,15.43
"Travis County, TX",48453,2020,2020,15169,1300503,11.66
"Webb County, TX",48479,2010,2010,5527,250304,22.08
"Webb County, TX",48479,2020,2020,4344,277681,15.64
"Wichita County, TX",48485,2010,2010,1790,131500,13.61
"Wichita County, TX",48485,2020,2020,1533,133205,11.51
"Williamson County, TX",48491,2010,2010,6164,422679,14.58
"Williamson County, TX",48491,2020,2020,6855,617855,11.09
"Unidentified Counties, TX",48999,2010,2010,66659,5138506,12.97
