County,County Code,Year,Year Code,Births,Total Population,Birth Rate
"Hillsborough County, FL",12057,2010,2010,16412,1229226,13.35
"Hillsborough County, FL",12057,2020,2020,16589,1497957,11.07
"Indian River County, FL",12061,2010,2010,1307,138028,9.47
"Indian River County, FL",12061,2020,2020,1194,162518,7.35
"Lake County, FL",12069,2010,2010,3124,297052,10.52
"Lake County, FL",12069,2020,2020,3301,375492,8.79
"Lee County, FL",12071,2010,2010,6321,618754,10.22
"Lee County, FL",12071,2020,2020,6775,790767,8.57
"Leon County, FL",12073,2010,2010,3092,275487,11.22
"Leon County, FL",12073,2020,2020,2936,295460,9.94
"Manatee County, FL",12081,2010,2010,3348,322833,10.37
"Manatee County, FL",12081,2020,2020,3392,411219,8.25
"Marion County, FL",12083,2010,2010,3402,331298,10.27
"Marion County, FL",12083,2020,2020,3422,373513,9.16
"Martin County, FL",12085,2010,2010,1228,146318,8.39
"Martin County, FL",12085,2020,2020,1248,162088,7.7
"Miami-Dade County, FL",12086,2010,2010,31353,2496435,12.56
"Miami-Dade County, FL",12086,2020,2020,27675,2707303,10.22
"Okaloosa County, FL",12091,2010,2010,2532,180822,14
"Okaloosa County, FL",12091,2020,2020,2558,212820,12.02
"Orange County, FL",12095,2010,2010,15191,1145956,13.26
"Orange County, FL",12095,2020,2020,15707,1404396,11.18
"Osceola County, FL",12097,2010,2010,3715,268685,13.83
"Osceola County, FL",12097,2020,2020,4481,385315,11.63
"Palm Beach County, FL",12099,2010,2010,13834,1320134,10.48
"Palm Beach County, FL",12099,2020,2020,14112,1507600,9.36
"Pasco County, FL",12101,2010,2010,4801,464697,10.33
"Pasco County, FL",12101,2020,2020,4968,570412,8.71
"Pinellas County, FL",12103,2010,2010,8468,916542,9.24
"Pinellas County, FL",12103,2020,2020,7462,976802,7.64
"Polk County, FL",12105,2010,2010,7420,602095,12.32
"Polk County, FL",12105,2020,2020,7984,744552,10.72
"St. Johns County, FL",12109,2010,2010,1815,190039,9.55
"St. Johns County, FL",12109,2020,2020,2148,278715,7.71
"St. Lucie County, FL",12111,2010,2010,3077,277789,11.08
"St. Lucie County, FL",12111,2020,2020,3024,337186,8.97
"Santa Rosa County, FL",12113,2010,2010,1713,151372,11.32
"Santa Rosa County, FL",12113,2020,2020,1844,189139,9.75
"Sarasota County, FL",12115,2010,2010,2818,379448,7.43
"Sarasota County, FL",12115,2020,2020,2653,443465,5.98
"Seminole County, FL",12117,2010,2010,4381,422718,10.36
"Seminole County, FL",12117,2020,2020,4437,474171,9.36
"Volusia County, FL",12127,2010,2010,4709,494593,9.52
