fips,TOT_POP_1519_C,TOT_POP_2024_C,TOT_POP_2529_C,TOT_POP_3034_C,TOT_POP_3539_C,TOT_FEMALE_1519_C,TOT_FEMALE_2024_C,TOT_FEMALE_2529_C,TOT_FEMALE_3034_C,TOT_FEMALE_3539_C,WA_FEMALE_1519_C,WA_FEMALE_2024_C,WA_FEMALE_2529_C,WA_FEMALE_3034_C,WA_FEMALE_3539_C,BA_FEMALE_1519_C,BA_FEMALE_2024_C,BA_FEMALE_2529_C,BA_FEMALE_3034_C,BA_FEMALE_3539_C,H_FEMALE_1519_C,H_FEMALE_2024_C,H_FEMALE_2529_C,H_FEMALE_3034_C,H_FEMALE_3539_C,NHWA_FEMALE_1519_C,NHWA_FEMALE_2024_C,NHWA_FEMALE_2529_C,NHWA_FEMALE_3034_C,NHWA_FEMALE_3539_C,NHBA_FEMALE_1519_C,NHBA_FEMALE_2024_C,NHBA_FEMALE_2529_C,NHBA_FEMALE_3034_C,NHBA_FEMALE_3539_C,dem2010_P,birth_rate_2010_N,births_2010_N,birth_rate_2020_N,births_2020_N,NHWA_FEMALE_2034_share_X,NHBA_FEMALE_2034_share_X,H_FEMALE_2034_share_X,race_category_X,regime_X,pol_group_X,reg_Minority_majority_X,reg_Mixed_Competitive_X,reg_Mixed_Democratic_X,reg_Mixed_Republican_X,reg_White_Competitive_X,reg_White_Democratic_X,reg_White_Republican_X
10001,12370,12237,10494,9523,9824,6172,6099,5410,5071,5216,3540,3685,3689,3490,3571,2196,2043,1380,1264,1313,450,434,426,345,332,3266,3392,3389,3233,3334,2066,1937,1293,1206,1254,0.5304677257092028,13.72,2227.0,11.41,2096.0,0.6039806996381182,0.2675512665862485,0.07267792521109771,White,White_Competitive,Competitive,False,False,False,False,True,False,False
10003,40966,40457,36305,34439,35105,20310,20315,18204,17472,17790,13342,14022,11717,11034,11331,5518,4816,4642,4737,4937,2116,2042,2092,2003,1784,11710,12438,10043,9427,9895,5200,4503,4360,4475,4709,0.6800845513566527,12.75,6867.0,10.89,6116.0,0.5698773017092033,0.23821685628047365,0.10960690110910683,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
10005,11247,10173,10804,9852,10400,5449,4960,5270,4862,5264,4013,3755,4096,3789,4248,1056,914,867,799,735,526,705,835,777,657,3625,3210,3437,3176,3725,1019,879,822,747,703,0.4406123945368883,11.51,2270.0,9.02,2180.0,0.6508746355685131,0.16220514179697854,0.15352504638218925,White,White_Competitive,Competitive,False,False,False,False,True,False,False
11001,39919,64110,69649,55096,42925,20968,35309,37482,28479,21478,6768,18944,21989,14977,9580,12770,13194,11859,10573,9929,1811,2894,3411,2893,2268,5498,16746,19363,12752,7834,12414,12787,11428,10197,9641,0.9168511184216536,15.23,9165.0,12.45,8874.0,0.4824824725980053,0.33980448306507355,0.09082650340673447,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
12001,23589,41515,21724,15256,13043,12647,21536,10359,7339,6477,8532,15646,7062,4839,4363,2974,3673,2160,1672,1468,1590,2824,926,625,529,7119,13118,6253,4284,3901,2895,3515,2099,1641,1438,0.5904146136051134,11.59,2866.0,9.41,2551.0,0.602920935922924,0.18491614416067698,0.111510424631697,White,White_Competitive,Competitive,False,False,False,False,True,False,False
12005,10889,11624,11754,10396,10322,5285,5667,5661,5025,5164,4131,4509,4626,4070,4232,792,735,683,619,652,312,353,380,285,284,3873,4224,4302,3823,3990,772,701,662,603,633,0.2838362348122086,13.06,2205.0,11.07,1896.0,0.7551519598850364,0.12022258912737724,0.062251574634623615,White,White_Republican,Republican,False,False,False,False,False,False,True
12009,34491,29335,28624,26171,28521,16299,13650,14206,13114,14657,12843,10845,11528,10576,11862,2373,1946,1845,1646,1783,1739,1407,1460,1457,1590,11396,9674,10289,9329,10517,2253,1822,1731,1547,1661,0.4370258217712904,9.14,4967.0,8.09,4922.0,0.71496216743959,0.12448132780082988,0.10554063949231145,White,White_Competitive,Competitive,False,False,False,False,True,False,False
12011,114200,104783,113599,110880,120146,55278,52281,58327,57449,62110,31564,30032,33974,34089,38775,20294,19082,20204,19135,19033,15760,14945,16141,17622,19167,17315,16530,19389,18015,21041,19339,18141,19156,18076,18094,0.6716296457115589,12.21,21349.0,10.19,19946.0,0.32092682839750797,0.3294893994299553,0.2898302361698709,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
12015,7336,5805,5704,5482,6318,3529,2699,2752,2582,3156,2990,2380,2432,2227,2784,370,227,199,211,234,325,253,266,269,317,2707,2159,2196,1989,2505,340,206,180,190,214,0.4411730470225719,6.34,1014.0,5.36,1043.0,0.789742312959044,0.07170422009212,0.09809535665380306,White,White_Competitive,Competitive,False,False,False,False,True,False,False
12017,7195,5357,5007,4858,5945,3428,2556,2475,2451,3036,3078,2346,2296,2230,2760,158,101,99,108,126,257,182,165,176,184,2861,2200,2144,2064,2595,144,84,89,101,116,0.3990106450860071,7.38,1043.0,6.89,1055.0,0.8564554931836408,0.03662122427158514,0.06990109596364609,White,White_Republican,Republican,False,False,False,False,False,False,True
