fips,TOT_POP_1519_C,TOT_POP_2024_C,TOT_POP_2529_C,TOT_POP_3034_C,TOT_POP_3539_C,TOT_FEMALE_1519_C,TOT_FEMALE_2024_C,TOT_FEMALE_2529_C,TOT_FEMALE_3034_C,TOT_FEMALE_3539_C,WA_FEMALE_1519_C,WA_FEMALE_2024_C,WA_FEMALE_2529_C,WA_FEMALE_3034_C,WA_FEMALE_3539_C,BA_FEMALE_1519_C,BA_FEMALE_2024_C,BA_FEMALE_2529_C,BA_FEMALE_3034_C,BA_FEMALE_3539_C,H_FEMALE_1519_C,H_FEMALE_2024_C,H_FEMALE_2529_C,H_FEMALE_3034_C,H_FEMALE_3539_C,NHWA_FEMALE_1519_C,NHWA_FEMALE_2024_C,NHWA_FEMALE_2529_C,NHWA_FEMALE_3034_C,NHWA_FEMALE_3539_C,NHBA_FEMALE_1519_C,NHBA_FEMALE_2024_C,NHBA_FEMALE_2529_C,NHBA_FEMALE_3034_C,NHBA_FEMALE_3539_C,dem2020_P,birth_rate_2020_N,births_2020_N,NHWA_FEMALE_2034_share_X,NHBA_FEMALE_2034_share_X,H_FEMALE_2034_share_X,race_category_X,regime_X,pol_group_X,reg_Minority_majority_X,reg_Mixed_Competitive_X,reg_Mixed_Democratic_X,reg_Mixed_Republican_X,reg_White_Competitive_X,reg_White_Democratic_X,reg_White_Republican_X
6001,97884,94815,127499,146994,139916,48593,47763,63507,72731,69092,23645,23705,30373,33090,30754,5006,5540,7288,7532,6979,15893,15325,16715,15756,14934,10694,11090,16437,20249,18494,4306,4870,6632,6789,6329,0.8020816289428234,10.42,17316.0,0.25965076276759363,0.09940706843984544,0.25975945782903354,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
6007,15137,23098,14817,12650,13017,7643,11410,7139,6087,6317,6191,9305,5770,5003,5408,159,200,180,138,108,1912,2750,1731,1249,1265,4626,6953,4260,3949,4345,109,148,149,122,81,0.4940528677522387,9.36,1991.0,0.6154408183146615,0.017007631108946257,0.2325864588407209,White,White_Competitive,Competitive,False,False,False,False,True,False,False
6013,75684,65337,70482,74931,81627,36841,32110,34787,37513,41029,23134,20342,21224,22565,25028,3531,3497,4195,4280,4015,13248,11757,11667,11267,11776,11850,10359,11329,12971,14915,3093,3091,3733,3855,3563,0.7162816781234302,10.21,11760.0,0.33195096255147977,0.10227947514605881,0.33225744660473133,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
6017,11187,9191,9192,9837,11393,5395,4487,4349,4891,5700,4535,3814,3729,4239,4953,69,56,55,54,52,1071,959,788,743,957,3610,2978,3056,3581,4099,55,49,44,46,43,0.4443994869101834,7.59,1465.0,0.7004443796896627,0.010126028993953522,0.18139433233772856,White,White_Competitive,Competitive,False,False,False,False,True,False,False
6019,74598,68582,77057,75421,69669,36507,33879,37765,36782,34053,27538,25403,27390,26519,24898,2129,2137,2485,2240,2021,23486,21258,21670,19532,18316,6918,6607,8323,9374,8808,1529,1575,1926,1717,1524,0.528955899560722,13.81,13825.0,0.22415287846088577,0.04812498847139985,0.5760610923579216,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
6023,8873,12416,9494,8333,9216,4403,6342,4715,4070,4530,3355,4929,3755,3290,3766,81,123,103,72,51,894,1227,874,712,664,2645,3924,3042,2708,3229,60,111,88,53,41,0.6502912423921096,9.37,1265.0,0.6395187413234613,0.016658954187875982,0.1859588814702188,White,White_Democratic,Democratic,False,False,False,False,False,True,False
6025,13617,12466,13311,12959,12032,6631,5622,5970,5618,5443,6022,5116,5447,5113,4966,133,122,120,126,102,6021,5124,5425,5000,4864,387,325,371,417,406,62,53,49,62,38,0.6111414623830252,12.92,2329.0,0.06467170249854735,0.009529343404997094,0.9034863451481697,Hispanic,Minority_majority,Democratic,True,False,False,False,False,False,False
6029,68999,63170,71421,67972,63312,33459,29477,33539,31735,29675,27302,24157,27194,25666,24330,2113,1879,2265,2194,1644,22409,19530,20176,17774,16451,7135,6498,8949,9787,9606,1585,1487,1877,1772,1292,0.436847346147295,13.71,12356.0,0.26631908898059126,0.05420523266245211,0.6066426739559477,Hispanic,Minority_majority,Competitive,True,False,False,False,False,False,False
6031,10440,11948,13021,12455,11727,4991,4972,5368,5074,4702,4122,4002,4327,4150,3855,232,333,370,309,237,3509,3269,3187,2883,2701,971,1088,1494,1555,1432,164,254,310,237,184,0.426324069218668,14.75,2252.0,0.2683923705722071,0.05196574542623589,0.6058777734527053,Hispanic,Minority_majority,Competitive,True,False,False,False,False,False,False
6037,619872,656466,804250,807283,725550,304559,326530,398632,393784,354695,220322,234773,279802,269992,242749,26662,29609,38902,38071,31957,182798,188098,204800,181931,166936,54222,63070,93395,104914,90798,22206,25291,34090,33432,27767,0.7102780836068208,9.86,98060.0,0.23359393572165235,0.08294680887192053,0.5137236292010517,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
6039,11343,10141,10887,10573,10438,5602,5210,5744,5567,5512,4776,4309,4735,4607,4533,196,338,428,385,377,4080,3593,3744,3451,3319,1149,1114,1403,1547,1602,125,264,342,295,308,0.4311769522816943,13.29,2097.0,0.24598995218207131,0.054536650323830274,0.652987107317959,Hispanic,Minority_majority,Competitive,True,False,False,False,False,False,False
6041,16260,11878,10733,11929,14729,7958,5921,4960,5560,7200,6465,4915,3957,4418,5784,171,158,157,190,193,2143,1701,1285,1228,1641,4652,3386,2857,3332,4324,132,145,137,164,161,0.8232561124302125,8.08,2078.0,0.5823854996654705,0.027127303691989537,0.2563104434036859,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
6047,24344,20132,20980,19858,18721,11978,9678,10018,9470,9065,9581,7894,8067,7610,7387,487,358,367,361,327,8400,6848,6667,5872,5687,2031,1657,1992,2292,2229,297,242,260,249,218,0.5410142014709455,13.36,3732.0,0.20369608448193102,0.02574915998079956,0.6647123362819721,Hispanic,Minority_majority,Competitive,True,False,False,False,False,False,False
6053,32616,30270,30711,30421,30144,16101,14550,14734,14235,14106,13124,11951,12161,11704,11571,540,440,485,449,388,11583,9925,9921,9213,9330,2834,3044,3299,3522,3247,283,263,289,278,234,0.6951617527741684,12.94,5575.0,0.22668259840529423,0.01907212941473839,0.6677313357384131,Hispanic,Minority_majority,Democratic,True,False,False,False,False,False,False
6055,8767,7924,8528,8307,8922,4280,3785,4214,4141,4291,3389,3013,3435,3436,3603,117,89,97,104,90,2135,1869,1926,1669,1745,1451,1323,1685,1897,1988,90,71,72,82,71,0.6904643104643104,8.88,1207.0,0.40403624382207576,0.018533772652388796,0.4500823723228995,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
6059,210378,203571,232175,222137,214103,103901,101223,113323,108370,105276,72684,73182,80444,73397,69863,2383,2520,2783,2602,2437,45656,45344,46740,39499,37052,31203,31804,37684,37457,35965,1637,1775,2062,1896,1813,0.534788810029216,9.79,31014.0,0.3311851998662191,0.017753843104708344,0.407483679966307,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
6061,25539,20355,20596,22793,27491,12265,9954,10134,11361,13872,9667,8007,8284,9306,11067,256,286,254,243,282,2552,2121,1980,1897,2314,7511,6231,6583,7669,9104,219,243,212,210,230,0.4545992070919331,8.67,3494.0,0.6513084676778276,0.02114534643390887,0.19072148557982765,White,White_Competitive,Competitive,False,False,False,False,True,False,False
6065,174602,158810,167686,165045,165351,85597,78046,81460,80500,81056,66019,60497,63713,62912,63269,6334,6211,6396,6231,5903,52669,48847,47924,44006,43447,18682,16375,20181,23128,23939,5058,5094,5362,5157,4804,0.5298468845396307,10.83,26955.0,0.2486771164054232,0.06505254035315784,0.5865561694290976,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
6067,99332,95040,120736,125440,117019,48698,46972,60315,62243,57982,28007,27532,35457,36782,34650,6002,5920,7164,6924,6042,15990,14646,16264,14832,13673,15585,16072,22540,24974,23786,5089,5143,6396,6171,5315,0.6135627192249875,11.57,18032.0,0.3750722585972984,0.10446528637999174,0.26981655164277707,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
6071,157392,156884,169586,162854,151044,75621,74585,82726,79784,73866,57662,57018,62097,58901,55076,7212,7426,8634,8509,6962,49581,48038,49212,44243,40966,13333,13661,17671,19296,18180,5876,6231,7450,7221,5909,0.541960220179996,12.2,26706.0,0.21353465910289124,0.08815875492945865,0.5967776629621038,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
6073,206709,235945,265599,268193,244394,99136,105392,125561,128873,116894,71630,77415,92207,93018,84614,5309,6669,7754,7423,6179,43836,45340,48651,44321,40409,33149,37392,49062,53890,48971,4103,5492,6483,6097,5024,0.6020998125635477,11.15,37161.0,0.3900329603752925,0.050224275066282034,0.38438578646345734,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
6075,30421,43546,93923,105205,81287,15479,22141,45666,49531,37603,7147,10361,24183,27546,20729,1210,1426,2180,2125,1630,3581,4473,6642,6873,5627,4331,6712,18658,21825,16080,1030,1253,1921,1878,1415,0.8525610242744385,9.25,8014.0,0.40221411648400346,0.043055105762838976,0.15330072099405137,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
6077,57738,51178,54602,53706,54335,28016,24850,26637,26271,26593,17627,15757,16642,16147,16459,2410,2199,2496,2283,2097,14785,12716,12324,11057,11299,5395,5179,6313,6874,6988,1939,1837,2104,1892,1713,0.5585492838622909,12.62,9690.0,0.2361943465624116,0.07501478947503794,0.46422233082126596,Mixed,Mixed_Competitive,Competitive,False,True,False,False,False,False,False
6079,22431,29037,15883,15596,16984,10908,13221,7447,7323,8091,9235,11185,6544,6527,7199,136,154,122,107,109,3190,3473,2322,2156,2239,6456,8184,4508,4593,5205,90,103,81,83,74,0.5529258549657513,8.36,2360.0,0.6175199171162159,0.009538780322246436,0.2840555892965596,White,White_Competitive,Competitive,False,False,False,False,True,False,False
6081,41932,40091,53536,60188,58632,20344,19308,25662,28585,28661,12559,11472,13507,14619,14807,511,542,723,691,691,7291,6892,7237,6791,6900,6352,5574,7251,8737,8911,352,388,560,540,504,0.778878346350444,10.18,7716.0,0.29314118686697027,0.02022976004350486,0.2844130242675549,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
6083,36931,48095,32179,27239,27469,18749,23619,15317,12783,13035,15123,18625,12736,10722,11070,507,578,405,315,277,9967,10530,7990,6500,6895,6340,9218,5547,4971,4899,323,415,285,222,172,0.6487154273506407,12.02,5344.0,0.38160057232351746,0.01782710415901313,0.48376805429339315,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
6085,121607,116644,152688,159088,149337,59281,55872,69848,73394,70431,31859,30090,32866,32964,31911,1870,1994,2113,2069,2035,20534,19174,19487,17237,17196,14375,13787,16123,18082,17035,1434,1615,1731,1729,1648,0.726386761658366,10.26,19575.0,0.2410277529455488,0.025487911447713372,0.28073365006980927,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
6087,21670,26123,17013,15652,16348,10948,13080,8159,7573,8059,8784,10526,6954,6510,7008,231,215,137,111,92,4643,4998,3531,3090,3053,4704,6157,3813,3794,4277,152,133,81,71,62,0.7887901572112098,8.11,2189.0,0.47771761765930865,0.00989171178675552,0.4032694710537276,Mixed,Mixed_Democratic,Democratic,False,False,True,False,False,False,False
